Name,User name,Log in,Log out,Cytometer,Duration
Chuck Norris,user5,2014-10-16 14:20:14,2014-10-16 14:28:00,FACSCantoII,0.1294444444
Chuck Norris,user5,2014-10-17 08:05:11,2014-10-17 08:29:04,FACSCantoII,0.3980555556
Chuck Norris,user5,2014-10-17 09:42:53,2014-10-17 12:16:36,FACSCantoII,2.5619444444
Chuck Norris,user5,2014-10-20 07:32:54,2014-10-20 08:02:34,FACSCantoII,0.4944444444
Chuck Norris,user5,2014-10-20 14:41:52,2014-10-20 14:47:46,FACSCantoII,0.0983333333
Chuck Norris,user5,2014-10-21 07:26:46,2014-10-21 07:52:04,FACSCantoII,0.4216666667
,,,,Total,18.4074999998

Aaron Pierce,user6,2012-04-11 17:11:04,2012-04-11 17:36:21,LSRII,0.4213888889
Aaron Pierce,user6,2012-04-11 17:47:37,2012-04-11 17:52:08,LSRII,0.0752777778
Aaron Pierce,user6,2012-04-12 13:15:06,2012-04-12 16:38:39,LSRII,3.3925
Aaron Pierce,user6,2012-04-13 11:15:02,2012-04-13 11:18:36,LSRII,0.0594444444
Aaron Pierce,user6,2012-04-13 11:19:24,2012-04-13 14:14:08,LSRII,2.9122222222
Aaron Pierce,user6,2012-04-13 14:19:17,2012-04-13 20:41:15,LSRII,6.3661111111
Aaron Pierce,user6,2012-04-17 12:00:03,2012-04-17 17:27:53,LSRII,5.4638888889
Aaron Pierce,user6,2012-04-18 11:09:08,2012-04-18 13:41:07,LSRII,2.5330555556
Aaron Pierce,user6,2012-04-18 14:21:05,2012-04-18 17:52:21,LSRII,3.5211111111
Aaron Pierce,user6,2012-04-19 07:58:54,2012-04-19 08:58:46,LSRII,0.9977777778
Aaron Pierce,user6,2012-04-19 10:41:15,2012-04-20 12:20:35,LSRII,25.6555555556
Aaron Pierce,user6,2013-02-28 07:07:28,2013-02-28 07:47:30,LSRII,0.6672222222
Aaron Pierce,user6,2013-09-25 07:20:22,2013-09-25 07:48:00,LSRII,0.4605555556
Aaron Pierce,user6,2013-09-26 07:21:48,2013-09-26 07:54:47,LSRII,0.5497222222
Aaron Pierce,user6,2013-09-27 07:14:42,2013-09-27 07:58:17,LSRII,0.7263888889
Aaron Pierce,user6,2013-09-30 07:49:07,2013-09-30 08:11:31,LSRII,0.3733333333
Aaron Pierce,user6,2014-07-15 09:44:58,2014-07-15 09:47:26,LSRII,0.0411111111
Aaron Pierce,user6,2014-07-17 09:51:13,2014-07-17 10:30:42,LSRII,0.6580555556
Aaron Pierce,user6,2014-10-21 08:35:16,2014-10-21 09:01:51,FACSCantoII,0.4430555556
Aaron Pierce,user6,2014-10-21 09:05:30,2014-10-21 09:06:14,FACSCantoII,0.0122222222
Aaron Pierce,user6,2014-10-22 07:33:36,2014-10-22 08:09:13,FACSCantoII,0.5936111111
Aaron Pierce,user6,2014-10-22 14:17:03,2014-10-22 14:28:03,FACSCantoII,0.1833333333
Aaron Pierce,user6,2014-10-23 07:49:18,2014-10-23 08:08:34,FACSCantoII,0.3211111111
Aaron Pierce,user6,2014-10-23 15:06:46,2014-10-23 15:11:53,FACSCantoII,0.0852777778
Aaron Pierce,user6,2014-10-24 07:44:04,2014-10-24 08:10:17,FACSCantoII,0.4369444444
Aaron Pierce,user6,2014-10-27 07:28:24,2014-10-27 08:02:09,FACSCantoII,0.5625
,,,,Total,57.5127777778

Alex Merck,user7,2012-04-20 12:20:45,2012-04-20 21:38:37,LSRII,9.2977777778
Alex Merck,user7,2012-04-20 21:38:42,####-##-## ##:##:##,LSRII,0.0
Alex Merck,user7,2012-04-23 09:23:57,2012-04-23 13:56:11,LSRII,4.5372222222
Alex Merck,user7,2012-04-23 13:56:16,2012-04-23 13:58:56,LSRII,0.0444444444
Alex Merck,user7,2012-04-23 14:29:55,2012-04-23 14:36:09,LSRII,0.1038888889
Alex Merck,user7,2012-04-23 14:37:01,2012-04-23 15:25:38,LSRII,0.8102777778
Alex Merck,user7,2012-04-23 15:25:50,2012-04-23 15:26:38,LSRII,0.0133333333
Alex Merck,user7,2012-04-23 15:26:43,2012-04-23 17:23:53,LSRII,1.9527777778
Alex Merck,user7,2012-04-24 11:27:51,2012-04-24 17:07:17,LSRII,5.6572222222
Alex Merck,user7,2012-04-25 08:40:58,2012-04-25 08:48:36,LSRII,0.1272222222
Alex Merck,user7,2012-04-25 12:21:40,2012-04-25 16:27:55,LSRII,4.1041666667
Alex Merck,user7,2012-04-26 08:00:37,2012-04-26 08:00:43,LSRII,0.0016666667
Alex Merck,user7,2014-07-18 08:40:23,2014-07-18 08:48:46,LSRII,0.1397222222
Alex Merck,user7,2014-07-21 07:55:12,2014-07-21 08:20:41,LSRII,0.4247222222
Alex Merck,user7,2014-07-22 07:32:55,2014-07-22 07:59:21,LSRII,0.4405555556
Alex Merck,user7,2014-07-22 07:59:55,2014-07-22 08:12:13,LSRII,0.205
Alex Merck,user7,2014-07-23 07:54:21,2014-07-23 08:10:56,LSRII,0.2763888889
Alex Merck,user7,2014-10-28 07:33:12,2014-10-28 07:57:08,FACSCantoII,0.3988888889
Alex Merck,user7,2014-10-28 14:59:20,2014-10-28 15:04:48,FACSCantoII,0.0911111111
Alex Merck,user7,2014-10-29 07:35:00,2014-10-29 07:57:42,FACSCantoII,0.3783333333
Alex Merck,user7,2014-10-29 14:34:45,2014-10-29 14:40:33,FACSCantoII,0.0966666667
Alex Merck,user7,2014-10-30 07:20:43,2014-10-30 07:46:00,FACSCantoII,0.4213888889
Alex Merck,user7,2014-10-30 14:54:29,2014-10-30 15:07:00,FACSCantoII,0.2086111111
Alex Merck,user7,2014-10-31 07:29:54,2014-10-31 07:52:46,FACSCantoII,0.3811111111
Alex Merck,user7,2014-10-31 13:19:09,2014-10-31 13:27:13,FACSCantoII,0.1344444444
,,,,Total,30.2469444444

Steve Michigan,user8,2012-04-26 08:00:47,2012-04-26 13:49:24,LSRII,5.8102777778
Steve Michigan,user8,2012-04-26 13:52:27,2012-04-26 13:53:54,LSRII,0.0241666667
Steve Michigan,user8,2012-04-26 13:54:30,2012-04-26 23:18:25,LSRII,9.3986111111
Steve Michigan,user8,2012-04-27 10:38:31,2012-04-28 21:36:09,LSRII,34.9605555556
Steve Michigan,user8,2012-04-28 21:36:24,2012-04-28 21:37:54,LSRII,0.025
Steve Michigan,user8,2012-04-28 21:38:08,2012-04-28 21:38:55,LSRII,0.0130555556
Steve Michigan,user8,2012-04-28 21:38:58,2012-04-30 10:54:40,LSRII,37.2616666667
Steve Michigan,user8,2012-04-30 10:54:45,2012-04-30 16:19:50,LSRII,5.4180555556
Steve Michigan,user8,2012-04-30 16:19:54,2012-04-30 16:20:14,LSRII,0.0055555556
Steve Michigan,user8,2012-04-30 16:20:20,2012-04-30 17:27:08,LSRII,1.1133333333
Steve Michigan,user8,2014-07-24 07:32:43,2014-07-24 08:25:34,LSRII,0.8808333333
Steve Michigan,user8,2014-07-24 11:21:15,2014-07-24 11:45:28,LSRII,0.4036111111
Steve Michigan,user8,2014-07-25 07:28:05,2014-07-25 08:08:43,LSRII,0.6772222222
Steve Michigan,user8,2014-07-28 07:13:45,2014-07-28 07:43:49,LSRII,0.5011111111
Steve Michigan,user8,2014-07-28 11:18:04,2014-07-28 11:22:07,LSRII,0.0675
,,,,Total,96.5605555557

Benjamin Guild,user9,2014-07-29 06:54:40,2014-07-29 07:29:34,LSRII,0.5816666667
Benjamin Guild,user9,2014-07-29 09:57:39,2014-07-29 11:11:46,LSRII,1.2352777778
Benjamin Guild,user9,2014-07-30 06:58:34,2014-07-30 07:39:15,LSRII,0.6780555556
Benjamin Guild,user9,2014-07-31 06:59:57,2014-07-31 07:27:15,LSRII,0.455
Benjamin Guild,user9,2014-07-31 08:30:35,2014-07-31 08:46:59,LSRII,0.2733333333
Benjamin Guild,user9,2014-07-31 10:51:48,2014-07-31 10:53:24,LSRII,0.0266666667
Benjamin Guild,user9,2014-07-31 13:41:10,2014-07-31 13:41:28,LSRII,0.005
Benjamin Guild,user9,2014-07-31 15:55:23,2014-07-31 15:57:31,LSRII,0.0355555556
,,,,Total,3.2905555557




,,,,Sum of total(s),335.292
